"hip";"lat";"lon";"hr";"hd";"name";"almagest_number"
30324;-41.33;71;2294;44743;"2Bet CMa";826
28199;-59.83;62.33;2106;40494;"Gam Col";843
27628;-59.67;59;2040;39425;"Bet Col";844
26634;-57.67;56;1956;37795;"Alp Col";845
36188;-14;85;2845;58715;"3Bet CMi";847
42515;-51.83;120.17;3438;74006;"Bet Pyx";875
42828;-49;119.33;3468;45995;"Alp Pyx";876
43409;-43.33;118;3518;75691;"Gam Pyx";877
39953;-63.83;120;3207;68273;"Gam2Vel";883
30438;-75;77.17;2326;45348;"Alp Car";892
46390;-20.5;120;3748;81797;"30Alp Hya";905
54682;-25.75;151.5;4343;97277;"11Bet Crt";912
57936;-31.33;166.17;4552;103192;"Bet Hya";916
64962;-13.67;180;5020;115659;"46Gam Hya";917
53740;-23;146.33;4287;95272;"7Alp Crt";921
55705;-19.33;152.5;4405;99211;"15Gam Crt";922
59199;-21.67;165.33;4623;105452;"1Alp Crv";928
59803;-14.83;163.33;4662;106625;"4Gam Crv";931
61359;-18.17;170.5;4786;109379;"9Bet Crv";934
61932;-40;185.83;4819;110304;"Gam Cen";957
61084;-51.17;190;4763;108903;"Gam Cru";965
62434;-51.67;195.33;4853;111123;"Bet Cru";966
60718;-55.33;191.17;4730;108248;"Alp1Cru";968
68702;-45.33;204.17;5267;122451;"Bet Cen";970
73273;-24.83;208;5571;132058;"Bet Lup";972
71860;-29.17;205.83;5469;129056;"Alp Lup";973
76297;-21;214.17;5776;138690;"Gam Lup";975
85792;-26.5;236.33;6510;158427;"Alp Ara";993
85267;-34.17;235.17;6462;157246;"Gam Ara";995
85258;-33.33;235;6461;157244;"Bet Ara";996
90422;-21.5;249.17;6897;169467;"Alp Tel";998
94160;-17.17;257;7259;178345;"Bet CrA";1003
94114;-16;256.83;7254;178253;"Alp CrA";1004
93825;-15.17;256.5;7226;177474;"Gam CrA";1005
113368;-20.33;307;8728;216956;"24Alp PsA";1011
111188;-20.33;300.67;8576;213398;"17Bet PsA";1012
112948;-22.25;304.17;8695;216336;"22Gam PsA";1013
108085;-22.25;290.17;8353;207971;"Gam Gru";1022
102831;-17;283.83;7965;198232;"Alp Mic";1027
103738;-14.83;283.83;8039;199951;"Gam Mic";1028
