# Tycho Brahe star catalogue (Kepler 1627 emended edition)
# Source: Verbunt & van Gent (2010), A&A 516, A28
# Coordinates: ecliptic, equinox AD 1601.0
# Columns: hip;lat_deg;lon_deg;mag_brahe;vmag;dlon_arcmin;dlat_arcmin;dist_arcmin;id_flag
# Stars written: 976
#
81660;81.6833;178.3667;5;4.8;6.8;-2.7;2.9;1
83895;84.7667;176.8583;3;3.2;25.0;0.2;2.3;1
80331;78.5333;187.9167;3;2.7;47.4;-4.7;10.5;2
78527;74.1917;192.4750;3;4.0;-81.7;15.9;27.2;1
75458;71.0667;179.3667;3;3.3;-7.8;2.1;3.3;1
67627;65.3000;149.2833;5;4.6;-2.1;3.0;3.1;1
68756;66.6000;152.1750;2;3.7;-23.3;-15.0;17.7;1
61281;61.5500;130.4333;3;3.8;11.3;11.0;12.3;1
56211;57.1167;124.6250;3;3.8;5.2;5.5;6.2;1
98583;77.5250;1.0667;5;5.2;-14.6;-1.6;3.6;1
106032;71.1167;30.2167;3;3.2;-7.5;0.2;2.5;1
105199;68.9000;7.2167;3;2.5;5.1;0.6;1.9;1
112724;62.5833;27.8917;4;3.5;-6.4;0.2;2.9;1
109492;61.0500;8.4833;4;3.4;-0.1;4.9;4.9;1
109857;59.9833;7.8917;4;4.2;-24.4;-1.4;12.3;2
110991;58.7667;13.6500;4;4.1;-91.8;45.4;65.4;1
102422;71.8167;359.3500;4;3.4;-20.7;-5.2;8.3;1
101093;74.0083;359.9000;4;4.2;-26.4;-4.7;8.7;1
108917;65.7000;18.7667;5;4.3;-3.9;2.3;2.8;1
99255;75.4500;57.5500;4;4.4;1.8;-0.6;0.8;1
116727;64.4667;54.3833;3;3.2;9.8;8.7;9.7;1
69483;58.8833;174.1583;4;4.5;7.9;0.9;4.2;1
69713;58.8500;175.5500;4;4.8;-4.1;-0.1;2.1;1
70497;60.0833;176.9917;4;4.0;-3.5;4.9;5.2;1
69732;54.6667;181.3000;4;4.2;4.1;-0.7;2.5;1
71075;49.5583;193.0917;3;3.0;-61.5;0.2;39.9;1
73555;54.2583;198.7250;3;3.5;-6.2;-4.7;5.9;1
74666;49.0167;207.4917;3;3.5;1.7;-0.7;1.3;1
72105;40.6667;202.4917;3;2.3;0.9;-0.8;1.1;1
71284;42.1833;198.2667;4;4.5;0.3;-2.2;2.2;1
71053;42.5917;197.2917;4;3.6;-5.8;-7.4;8.5;1
71795;27.9500;207.4417;3;3.8;-0.1;-2.4;2.4;1
67927;28.1500;193.7000;3;2.7;1.9;-0.8;1.8;1
67275;26.5500;192.4167;4;4.5;-1.2;0.0;1.1;1
67459;25.2333;193.6167;4;4.1;0.2;-0.9;0.9;1
69673;31.0417;198.6500;1;-0.1;1.1;-1.8;2.0;1
71762;30.4583;206.2250;4;4.5;2.3;-3.8;4.3;1
72125;31.3667;207.1833;4;4.6;2.4;-4.3;4.8;1
72659;33.8667;207.8667;4;4.5;3.8;-3.9;5.0;1
73568;40.2417;208.1833;5;4.8;1.2;-1.9;2.1;1
73996;40.5250;209.6667;5;4.9;0.6;-0.8;0.9;1
73745;42.2667;207.8833;5;4.5;2.6;-3.4;3.9;1
74087;41.9167;209.2667;6;5.7;3.7;0.7;2.8;1
74596;45.1000;209.5750;5;5.3;2.2;-0.9;1.8;1
75312;46.8667;211.4417;5;5.0;3.5;-1.4;2.8;1
75411;53.4583;207.5333;4;4.3;3.1;-0.4;1.9;1
76669;54.0000;212.5833;4;4.6;4.3;-1.1;2.7;1
73695;60.6667;191.8167;6;4.8;23.4;-5.1;12.5;1
73841;60.9500;192.5500;6;5.6;-31.4;10.4;18.4;1
76267;44.3833;216.6417;2;2.2;1.7;-1.0;1.6;1
75695;46.1333;213.6167;4;3.7;-4.6;-2.7;4.2;1
76127;48.4167;213.1750;5;4.1;40.0;10.4;28.4;1
77048;50.3500;218.0333;6;5.6;-86.7;9.3;56.0;1
76952;44.5500;219.2417;4;3.8;2.9;-0.3;2.1;1
77512;44.8667;221.4167;4;4.6;1.1;-3.1;3.2;1
78159;46.1583;223.5333;4;4.1;-0.5;-2.3;2.4;1
78493;48.4000;223.0333;6;5.0;22.8;48.2;50.5;1
84345;37.3833;250.5167;3;2.8;3.7;-3.0;4.1;1
80816;42.8000;235.4583;3;2.8;3.5;-2.8;3.8;1
80170;40.0917;233.6000;3;3.7;2.0;-2.5;2.9;1
79043;37.3167;230.1083;4;5.0;1.5;-3.3;3.5;1
84379;47.7833;249.1667;3;3.1;1.0;-1.7;1.9;1
85693;49.3833;254.3667;4;4.4;-2.5;-2.4;2.9;1
86974;51.2750;259.6000;4;3.4;6.1;-2.1;4.3;1
88794;52.3167;267.3167;4;3.8;-10.9;-4.9;8.3;1
87998;53.7667;263.9500;4;4.4;-3.6;-5.2;5.6;1
87933;52.7833;263.6333;4;3.7;-1.1;-2.6;2.7;1
81693;53.1750;236.0333;3;2.8;-4.4;-2.6;3.7;1
83207;53.3500;242.7583;3;3.9;-0.7;-3.2;3.3;1
84380;59.6333;246.3583;4;3.2;7.5;-1.9;4.2;1
84606;60.1917;247.3167;4;4.6;3.6;-2.5;3.0;1
85112;60.2250;249.7917;4;4.2;0.3;-2.9;2.9;1
87808;60.7833;262.9333;3;3.9;-1.3;-2.8;2.9;1
86414;69.3667;254.2833;3;3.8;1.5;-3.0;3.0;1
85379;71.3333;247.0917;6;5.8;-4.7;-5.1;5.3;1
86182;71.2250;251.1167;6;5.3;51.0;35.5;39.0;1
81833;60.3750;233.1417;3;3.5;1.4;-1.8;2.0;1
81126;63.2333;227.6583;4;4.2;-2.1;-2.0;2.2;1
79992;65.9167;218.7250;4;3.9;1.3;-3.1;3.1;1
79101;63.8500;215.9500;4;4.2;3.0;-2.2;2.6;1
78592;64.3833;212.7167;4;4.7;-0.1;-1.7;1.7;1
80704;62.4833;226.5333;5;4.8;-36.8;-8.1;18.9;1
