# Converted from ptolema.dat — Ptolemaios (equinox -128)
# Source: Verbunt & van Gent (2012) A&A 544 A31
# id_flag: 1=secure(nearest) 2=secure(not nearest) 3=probable 4=possible 5=unident 6=repeat
# Skipped: HIP=0 (unidentified) and id_flag=5 (not identified)
# hip;lat_deg;lon_deg;seq;cst;name;mag_ptolema;vmag_hip;id_flag;dist_arcmin
83895;84.8333;158.3333;67;=Dra;"24=Dra";3;3.2;1;26.2
80331;78.0000;160.0000;68;=Dra;"25=Dra";3;2.7;2;83.6
78527;74.6667;163.0000;69;=Dra;"26=Dra";4;4.0;1;108.8
75458;70.0000;162.6667;70;=Dra;"27=Dra";3;3.3;1;127.1
67627;64.6667;127.3333;71;=Dra;"28=Dra";4;4.6;1;35.0
68756;65.5000;131.1667;72;=Dra;"29=Dra";3;3.7;1;54.4
61281;61.2500;109.1667;73;=Dra;"30=Dra";3;3.8;2;20.9
56211;56.2500;103.1667;74;=Dra;"31=Dra";3;3.8;1;48.1
99255;75.6667;35.0000;75;=Cep;"1=Cep";4;4.4;1;35.1
116727;64.2500;33.0000;76;=Cep;"2=Cep";4;3.2;1;11.4
106032;71.1667;7.3333;77;=Cep;"3=Cep";4;3.2;1;39.3
105199;69.0000;346.6667;78;=Cep;"4=Cep";3;2.5;1;8.2
102422;72.0000;339.3333;79;=Cep;"5=Cep";4;3.4;1;48.1
101093;74.0000;340.0000;80;=Cep;"6=Cep";4;4.2;1;18.7
108917;65.5000;358.5000;81;=Cep;"7=Cep";5;4.3;1;25.5
112724;62.5000;7.5000;82;=Cep;"8=Cep";4;3.5;1;15.0
109857;60.2500;346.3333;83;=Cep;"9=Cep";5;4.2;1;12.3
109492;61.2500;347.3333;84;=Cep;"10=Cep";4;3.4;1;11.6
109556;61.3333;349.0000;85;=Cep;"11=Cep";5;5.1;1;33.6
107259;64.0000;343.6667;86;=Cep;"12a=Cep";5;4.2;1;11.9
110991;59.5000;351.3333;87;=Cep;"13a=Cep";4;4.1;1;6.4
69483;58.6667;152.3333;88;=Boo;"1=Boo";5;4.5;1;13.9
69713;58.3333;154.1667;89;=Boo;"2=Boo";5;4.8;1;32.6
70497;60.1667;155.3333;90;=Boo;"3=Boo";5;4.0;1;14.9
69732;54.6667;159.6667;91;=Boo;"4=Boo";5;4.2;1;8.4
71075;49.0000;169.6667;92;=Boo;"5=Boo";3;3.0;1;50.8
73555;53.8333;176.6667;93;=Boo;"6=Boo";4;3.5;1;30.0
74666;48.6667;185.6667;94;=Boo;"7=Boo";4;3.5;1;30.5
75411;53.2500;185.6667;95;=Boo;"8=Boo";4;4.3;1;24.9
76041;57.5000;185.0000;96;=Boo;"9=Boo";4;5.0;1;17.3
75312;46.5000;187.6667;97;=Boo;"10=Boo";4;5.0;2;94.5
74596;45.5000;188.5000;98;=Boo;"11=Boo";5;5.3;1;23.2
73996;41.3333;188.1667;99;=Boo;"12=Boo";5;4.9;2;39.6
74087;41.6667;186.6667;100;=Boo;"13=Boo";5;5.7;2;56.3
73745;42.5000;187.0000;101;=Boo;"14=Boo";5;4.5;1;23.0
73568;40.3333;187.3333;102;=Boo;"15=Boo";5;4.8;1;29.5
72105;40.2500;180.0000;103;=Boo;"16=Boo";3;2.3;2;55.8
71284;41.6667;175.6667;104;=Boo;"17=Boo";4;4.5;2;52.8
71053;42.1667;175.0000;105;=Boo;"18=Boo";4;3.6;1;39.5
71795;28.0000;185.3333;106;=Boo;"19=Boo";3;3.8;2;33.5
67927;28.0000;171.3333;107;=Boo;"20=Boo";3;2.7;2;52.3
67275;26.5000;170.5000;108;=Boo;"21=Boo";4;4.5;1;38.8
67459;25.0000;171.3333;109;=Boo;"22=Boo";4;4.1;1;51.7
69673;31.5000;177.0000;110;=Boo;"23a=Boo";1;-0.1;1;44.6
76267;44.5000;194.6667;111;=CrB;"1=CrB";2;2.2;1;17.1
75695;46.5000;191.6667;112;=CrB;"2=CrB";4;3.7;1;26.0
76127;48.0000;191.8333;113;=CrB;"3=CrB";5;4.1;1;48.2
77048;50.5000;193.6667;114;=CrB;"4=CrB";6;5.6;1;53.8
76952;44.7500;197.1667;115;=CrB;"5=CrB";4;3.8;1;30.0
77512;44.8333;199.1667;116;=CrB;"6=CrB";4;4.6;1;36.0
78159;46.1667;201.3333;117;=CrB;"7=CrB";4;4.1;1;31.8
78493;49.3333;201.6667;118;=CrB;"8=CrB";4;5.0;1;10.2
84345;37.5000;227.6667;119;=Her;"1=Her";3;2.8;1;72.9
80816;43.0000;213.6667;120;=Her;"2=Her";3;2.8;1;20.4
80170;40.1667;211.6667;121;=Her;"3=Her";3;3.7;1;25.9
79043;37.1667;208.0000;122;=Her;"4=Her";4;5.0;1;38.1
84379;48.0000;226.6667;123;=Her;"5=Her";3;3.1;1;44.5
85693;49.5000;232.0000;124;=Her;"6=Her";4;4.4;1;36.0
86974;52.0000;237.6667;125;=Her;"7=Her";4;3.4;1;33.6
88794;52.8333;245.5000;126;=Her;"8=Her";4;3.8;1;24.9
87998;54.0000;241.6667;127;=Her;"9=Her";4;4.4;1;31.3
87933;53.0000;241.5000;128;=Her;"10=Her";4;3.7;1;25.3
81693;53.1667;213.8333;129;=Her;"11=Her";3;2.8;1;38.1
83207;53.5000;220.1667;130;=Her;"12=Her";5;3.9;1;41.4
83313;56.5000;220.0000;131;=Her;"13=Her";5;5.3;1;37.1
83838;58.5000;221.1667;132;=Her;"14=Her";3;5.4;1;46.6
84380;59.8333;224.0000;133;=Her;"15=Her";4;3.2;1;31.4
84606;60.3333;225.3333;134;=Her;"16=Her";4;4.6;1;18.6
85112;61.2500;226.3333;135;=Her;"17=Her";4;4.2;2;78.9
87808;61.0000;240.8333;136;=Her;"18=Her";4;3.9;1;21.0
86414;69.3333;232.1667;137;=Her;"19=Her";4;3.8;1;19.2
84835;70.2500;225.3333;138;=Her;"20=Her";6;5.5;1;70.7
85379;71.2500;226.8333;139;=Her;"21=Her";6;5.8;1;29.5
86182;72.2500;229.6667;140;=Her;"22=Her";6;5.3;1;20.1
81833;60.2500;210.6667;141;=Her;"23=Her";4;3.5;1;32.6
81126;63.0000;205.3333;142;=Her;"24=Her";4;4.2;1;28.5
79992;65.5000;195.6667;143;=Her;"25=Her";4;3.9;1;46.0
79101;63.6667;193.6667;144;=Her;"26=Her";4;4.2;1;24.8
78592;64.2500;190.1667;145;=Her;"27=Her";4;4.7;1;24.6
77760;60.0000;191.1667;146;=Her;"28=Her";4;4.6;1;11.5
76041;57.5000;185.0000;147;=Her;"29=Her";4;5.0;6;17.3
80463;38.1667;212.6667;148;=Her;"30a=Her";5;4.6;2;186.2
91262;62.0000;257.3333;149;=Lyr;"1=Lyr";1;0.0;1;27.2
91919;62.6667;260.3333;150;=Lyr;"2=Lyr";4;4.7;1;42.2
91971;61.0000;260.3333;151;=Lyr;"3=Lyr";4;4.3;1;37.5
92791;60.0000;263.6667;152;=Lyr;"4=Lyr";4;4.2;2;46.1
94481;61.3333;272.0000;153;=Lyr;"5=Lyr";4;4.4;1;47.6
94713;60.3333;271.6667;154;=Lyr;"6=Lyr";4;4.3;2;72.8
92420;56.1667;261.0000;155;=Lyr;"7=Lyr";3;3.5;1;37.4
92405;55.0000;260.8333;156;=Lyr;"8=Lyr";4;5.2;1;43.9
93194;55.3333;264.1667;157;=Lyr;"9=Lyr";3;3.3;2;34.3
93279;54.7500;264.1667;158;=Lyr;"10=Lyr";4;4.9;1;41.9
95947;49.0000;274.5000;159;=Cyg;"1=Cyg";3;3.0;1;12.7
96683;50.5000;279.0000;160;=Cyg;"2=Cyg";5;4.7;1;36.1
98110;54.5000;286.3333;161;=Cyg;"3=Cyg";4;3.9;1;0.7
100453;57.3333;298.5000;162;=Cyg;"4=Cyg";3;2.2;1;7.4
102098;60.0000;309.1667;163;=Cyg;"5=Cyg";2;1.3;1;9.3
97165;64.6667;289.3333;164;=Cyg;"6=Cyg";3;2.9;1;10.1
96441;69.6667;292.5000;165;=Cyg;"7=Cyg";4;4.5;1;8.3
95853;71.5000;291.1667;166;=Cyg;"8=Cyg";4;3.8;1;8.5
94779;74.0000;286.6667;167;=Cyg;"9=Cyg";4;3.8;1;29.9
102488;49.5000;300.8333;168;=Cyg;"10=Cyg";3;2.5;1;5.5
102589;52.1667;303.8333;169;=Cyg;"11=Cyg";4;4.5;1;35.4
104732;44.0000;306.6667;170;=Cyg;"12=Cyg";3;3.2;1;14.6
103413;55.1667;310.0000;171;=Cyg;"13=Cyg";4;3.9;1;15.6
104060;57.0000;314.5000;172;=Cyg;"14=Cyg";4;3.7;1;20.6
99675;64.0000;301.1667;173;=Cyg;"15=Cyg";4;3.8;2;19.4
99848;64.5000;302.6667;174;=Cyg;"16=Cyg";4;4.0;1;19.1
101138;64.7500;312.1667;175;=Cyg;"17=Cyg";5;4.9;2;74.9
104887;49.6667;310.6667;176;=Cyg;"18a=Cyg";4;3.7;1;63.1
105102;51.6667;313.8333;177;=Cyg;"19a=Cyg";4;4.2;1;5.2
2920;45.3333;7.8333;178;=Cas;"1=Cas";4;3.7;2;51.4
3179;46.7500;10.8333;179;=Cas;"2=Cas";3;2.2;1;19.2
3821;47.8333;13.0000;180;=Cas;"3=Cas";4;3.5;1;22.3
4427;49.0000;16.6667;181;=Cas;"4=Cas";3;2.2;2;31.6
6686;45.5000;20.6667;182;=Cas;"5=Cas";3;2.7;1;51.1
8886;47.7500;27.0000;183;=Cas;"6=Cas";4;3.3;2;48.0
9312;47.3333;31.6667;184;=Cas;"7=Cas";4;5.3;3;94.3
5542;44.3333;14.6667;185;=Cas;"8=Cas";4;4.3;1;80.1
6242;45.0000;17.6667;186;=Cas;"9=Cas";5;4.9;1;48.5
118243;50.0000;2.3333;187;=Cas;"10=Cas";6;4.9;2;62.8
2599;52.6667;15.0000;188;=Cas;"11=Cas";4;4.2;1;49.2
746;51.6667;7.8333;189;=Cas;"12=Cas";3;2.3;1;24.8
117863;51.6667;3.6667;190;=Cas;"13=Cas";6;4.5;2;48.3
13268;37.5000;31.1667;192;=Per;"2=Per";4;3.8;1;37.8
14328;34.5000;32.6667;193;=Per;"3=Per";3;2.9;1;29.7
12777;32.3333;27.5000;194;=Per;"4=Per";4;4.1;1;50.3
13531;34.5000;30.6667;195;=Per;"5=Per";4;3.9;1;30.9
14632;31.1667;31.5000;196;=Per;"6=Per";4;4.1;1;30.2
15863;30.0000;34.8333;197;=Per;"7=Per";2;1.8;1;21.9
16335;27.8333;35.3333;198;=Per;"8=Per";4;4.4;1;22.9
16826;27.6667;37.0000;199;=Per;"9=Per";4;4.3;1;7.1
17358;27.3333;37.6667;200;=Per;"10=Per";3;3.0;1;21.5
14668;27.0000;30.5000;201;=Per;"11=Per";4;3.8;1;64.4
14576;23.0000;29.6667;202;=Per;"12=Per";2;2.1;1;52.0
14817;21.0000;29.1667;203;=Per;"13=Per";4;4.6;1;25.9
14354;21.0000;27.6667;204;=Per;"14=Per";4;3.3;1;39.3
13879;22.2500;26.8333;205;=Per;"15=Per";4;4.7;1;44.9
20070;28.0000;44.8333;206;=Per;"16=Per";4;4.6;1;14.1
19167;28.1667;43.0000;207;=Per;"17=Per";4;4.3;1;28.9
19343;25.0000;42.3333;208;=Per;"18=Per";4;4.0;1;61.6
19812;26.2500;44.0000;209;=Per;"19=Per";4;4.1;1;12.6
20354;24.5000;44.1667;210;=Per;"20=Per";5;4.8;1;32.2
21476;18.7500;46.3333;211;=Per;"21=Per";5;4.3;1;21.0
17529;21.8333;36.8333;212;=Per;"22=Per";4;3.8;1;8.6
18532;19.2500;38.6667;213;=Per;"23=Per";3;2.9;1;23.9
18614;14.7500;38.3333;214;=Per;"24=Per";4;4.0;1;14.5
17448;12.0000;34.1667;215;=Per;"25=Per";3;3.8;1;6.3
18246;11.0000;36.3333;216;=Per;"26=Per";3;2.8;1;7.7
19811;18.0000;41.8333;217;=Per;"27a=Per";5;4.7;1;47.6
19949;31.0000;45.0000;218;=Per;"28a=Per";5;5.2;1;37.2
13254;20.6667;24.6667;219;=Per;"29a=Per";7;4.2;1;15.8
28358;30.0000;62.5000;220;=Aur;"1=Aur";4;3.7;1;45.1
27949;31.8333;62.3333;221;=Aur;"2=Aur";4;5.0;1;10.1
24608;22.5000;55.0000;222;=Aur;"3=Aur";1;0.1;1;20.7
28360;20.0000;62.8333;223;=Aur;"4=Aur";2;1.9;1;74.5
27673;15.2500;61.1667;224;=Aur;"5=Aur";4;4.0;1;16.5
28380;13.3333;62.8333;225;=Aur;"6=Aur";4;2.7;1;15.8
23416;20.6667;52.0000;226;=Aur;"7=Aur";4;3.0;1;2.7
23767;18.0000;52.1667;227;=Aur;"8=Aur";4;3.2;1;21.4
23453;18.0000;52.0000;228;=Aur;"9=Aur";4;3.7;1;15.5
23015;10.1667;49.8333;229;=Aur;"10=Aur";3;2.7;1;5.7
25428;5.0000;55.6667;230;=Aur;"11=Aur";3;1.6;1;12.5
25984;8.5000;56.0000;231;=Aur;"12=Aur";5;4.7;2;75.0
25541;12.1667;56.3333;232;=Aur;"13=Aur";5;5.1;1;71.8
86032;36.0000;234.8333;234;=Oph;"1=Oph";3;2.1;1;32.0
86742;27.2500;238.0000;235;=Oph;"2=Oph";4;2.8;1;57.7
87108;26.5000;239.0000;236;=Oph;"3=Oph";4;3.8;1;39.3
82673;33.0000;223.3333;237;=Oph;"4=Oph";4;4.4;1;22.5
83000;31.8333;224.6667;238;=Oph;"5=Oph";4;3.2;1;26.8
80883;24.5000;218.3333;239;=Oph;"6=Oph";4;3.8;1;42.1
79593;17.0000;215.0000;240;=Oph;"7=Oph";3;2.7;1;40.5
79882;16.5000;216.0000;241;=Oph;"8=Oph";3;3.2;1;31.2
86284;15.0000;236.6667;242;=Oph;"9=Oph";4;4.6;1;52.4
88048;13.6667;242.3333;243;=Oph;"10=Oph";4;3.3;1;36.6
88404;14.3333;243.3333;244;=Oph;"11=Oph";4;4.8;2;80.0
84012;7.5000;231.1667;245;=Oph;"12=Oph";3;2.4;1;9.5
84893;2.2500;233.6667;246;=Oph;"13=Oph";4;4.4;1;13.7
84405;-2.2500;233.0000;247;=Oph;"14=Oph";4;4.3;1;28.0
84970;-1.5000;234.3333;248;=Oph;"15=Oph";4;3.3;1;9.9
85340;-0.3333;235.0000;249;=Oph;"16=Oph";4;4.2;1;30.2
85755;-0.2500;235.8333;250;=Oph;"17=Oph";5;4.8;2;44.3
86736;1.0000;237.1667;251;=Oph;"18=Oph";5;4.9;3;141.3
81377;11.8333;222.1667;252;=Oph;"19=Oph";3;2.5;1;13.8
80894;5.3333;221.6667;253;=Oph;"20=Oph";5;4.3;1;11.0
80569;3.1667;220.6667;254;=Oph;"21=Oph";5;4.2;1;31.0
80343;1.6667;219.8333;255;=Oph;"22=Oph";5;4.5;1;49.8
80975;0.6667;222.3333;256;=Oph;"23=Oph";5;4.4;1;22.5
80473;-0.7500;220.6667;257;=Oph;"24=Oph";4;4.6;1;67.9
88149;28.1667;242.0000;258;=Oph;"25a=Oph";4;4.8;1;61.7
88192;26.3333;242.6667;259;=Oph;"26a=Oph";4;3.9;1;37.8
88290;25.0000;243.0000;260;=Oph;"27a=Oph";4;4.4;1;30.7
88601;27.0000;243.6667;261;=Oph;"28a=Oph";4;4.0;2;48.1
88771;33.0000;244.6667;262;=Oph;"29a=Oph";4;3.7;1;34.5
76852;38.0000;198.8333;263;=Ser;"1=Ser";4;4.5;1;65.4
77661;40.0000;201.6667;264;=Ser;"2=Ser";4;4.7;1;40.2
78072;36.0000;204.3333;265;=Ser;"3=Ser";3;3.8;1;47.0
77233;34.2500;202.0000;266;=Ser;"4=Ser";3;3.7;1;46.2
77450;37.2500;201.3333;267;=Ser;"5=Ser";4;4.1;2;67.9
78554;42.5000;203.1667;268;=Ser;"6=Ser";4;4.8;1;84.4
76276;29.2500;201.6667;269;=Ser;"7=Ser";3;3.8;1;17.7
77257;26.5000;204.8333;270;=Ser;"8=Ser";4;4.4;1;42.9
77070;25.3333;204.3333;271;=Ser;"9=Ser";3;2.6;1;42.0
77622;24.0000;206.3333;272;=Ser;"10=Ser";3;3.7;1;52.8
