 336 307    1  1 =UMi  1  3 23 02.5 66 02.  B 2   11767  1  1 1  2.0   -3.2    1.2    1.8
 337 308    2  1 =UMi  2  3 25 36.  69 50.5 B 4   85822  1  1 1  4.3    1.6    3.4    3.5
 338 309    3  1 =UMi  3  4 03 24.  73 50.  B 4   82080  1  1 1  4.2    8.0    2.3    3.2
 339 310    4  1 =UMi  4  4 21 29.  75 00.  B 4   77055  1  1 1  4.3   15.2    4.5    6.0
 340 311    5  1 =UMi  5  4 24 52.  77 38.5 B 5   79822  1  1 1  4.9  -10.4   10.2   10.4
 341 312    6  1 =UMi  6  5 07 16.5 72 51.5 B 2   72607  1  1 1  2.1   21.2    5.9    8.6
 342 313    7  1 =UMi  7  5 14 41.  75 23.5 B 3   75097  1  1 1  3.0   71.4  -10.7   21.0
 343   0    8  1 =UMi  8  5 02 54.  71 23.  B 6   70692  1  1 1  4.2  -10.4    1.4    3.6
 344   0    9  1 =UMi  9  4 27 20.  70 18.  B 6   69112  1  1 1  4.8  -10.0   -0.8    3.5
 345   0   10  1 =UMi 10  3 17 17.  35 50.  B 6   23734  3  1 1  5.2  -82.3    2.8   66.8
 346   0   11  1 =UMi 11  3 17 28.  37 20.  B 6   23522  3  1 1  4.0 -105.8    2.8   84.1
 347   0   12  1 =UMi 12  3 17 45.0 40 13.0 B 6   22626  4  3 4  5.5 -192.2   23.4  148.2
 348   0   13  1 =UMi 13  3 18 03.  42 56.  B 6   22783  3  1 4  4.3 -158.1   26.0  118.2
 349   0   14  1 =UMi 14  4 21 38.  57 55.  B 6   51808  6  1 1  4.9  -62.3   38.7   50.7
 350   0   15  1 =UMi 15  3 21 55.  70 42.  B 6          5  3 4  0.0    0.0    0.0    0.0
 351   0   16  1 =UMi 16  3 24 31.  69 03.  B 6   85699  1  1 4  5.8   61.4   27.8   35.2
 352   0   17  1 =UMi 17  3 15 07.  68 04.  B 6  109693  1  1 1  5.3   -0.9   -3.8    3.8
 353   0   18  1 =UMi 18  3 07 22.  67 43.  B 6  112519  1  3 1  4.8  -20.8    0.5    7.9
 354   0   19  1 =UMi 19  3 09 57.  67 22.  B 6  113116  1  0 1  4.7   10.9    7.4    8.5
