"hip";"lat";"lon";"hr";"hd";"name";"almagest_number"
41075;22.25;90;3275;70272;"31 Lyn";43
83608;76.5;206.67;6370;154905;"21Mu Dra";44
85819;78.5;221.83;6554;159541;"25Nu 2Dra";45
85670;75.67;223.17;6536;159181;"23Bet Dra";46
87585;80.33;237.33;6688;163588;"32Xi Dra";47
87833;75.5;239.67;6705;164058;"33Gam Dra";48
90156;82.33;264.67;6923;170073;"39 Dra";49
91755;78.25;272.33;7049;173524;"46 Dra";50
90905;80.33;268.83;6978;171635;"45 Dra";51
92512;81.5;289.5;7125;174358;"47Omi Dra";52
95081;81.67;338;7371;182564;"58Pi Dra";53
94376;83;350.5;7310;180711;"57Del Dra";54
97433;78.83;7.67;7582;188119;"63Eps Dra";55
98702;77.83;352.83;7685;190940;"67Rho Dra";56
96100;80.5;10.67;7462;185144;"61Sig Dra";57
92782;81.33;21.67;7180;176524;"52Ups Dra";58
94648;80.25;26.17;7352;181984;"60Tau Dra";59
86614;84.5;73.33;6636;162003;"31Psi1Dra";60
89937;83.5;50.33;6927;170153;"44Chi Dra";61
89908;84.83;41.83;6920;170000;"43Phi Dra";62
85805;87.5;118.67;6566;158758;"27 Dra";63
86201;86.83;111.67;6596;159286;"28Ome Dra";64
81660;81.25;159;6223;151101;"18 Dra";65
82860;83;159.33;6315;153597;"19 Dra";66
83895;84.83;158.33;6396;155763;"22Zet Dra";67
80331;78;160;6132;148387;"14Eta Dra";68
78527;74.67;160.33;5986;144284;"13The Dra";69
75458;70;162.67;5744;137759;"12Iot Dra";70
67627;64.67;127.33;5226;120610;"10 Dra";71
68756;65.5;131.17;5291;123299;"11Alp Dra";72
61281;61.25;109.17;4787;109387;"5Kap Dra";73
56211;56.25;103.17;4434;100029;"1Lam Dra";74
99255;75.67;35;7750;192907;"1Kap Cep";75
116727;64.25;33;8974;222404;"35Gam Cep";76
106032;71.17;7.33;8238;205021;"8Bet Cep";77
105199;69;346.67;8162;203280;"5Alp Cep";78
102422;72;339.33;7957;198149;"3Eta Cep";79
101093;74;340;7850;195725;"2The Cep";80
108917;65.5;358.5;8417;209638;"17Xi Cep";81
112724;62.5;7.5;8694;216228;"32Iot Cep";82
109857;60.25;346.33;8494;211336;"23Eps Cep";83
109492;61.25;347.33;8465;210745;"21Zet Cep";84
109556;61.33;349;8469;210839;"22Lam Cep";85
107259;64;343.67;8316;206936;"Mu Cep";86
110991;59.5;351.33;8571;213306;"27Del Cep";87
69481;58.67;152.33;5328;124674;"17Kap2Boo";88
69713;58.33;154.17;5350;125161;"21Iot Boo";89
70497;60.17;155.33;5404;126660;"23The Boo";90
69732;54.67;159.67;5351;125162;"19Lam Boo";91
71075;49;169.67;5435;127762;"27Gam Boo";92
73555;53.83;176.67;5602;133208;"42Bet Boo";93
74666;48.67;185.67;5681;135722;"49Del Boo";94
75411;53.25;185.67;5733;137391;"51Mu 1Boo";95
75312;46.5;187.67;5727;137107;"2Eta CrB";97
75049;45.5;188.5;5709;136512;"1Omi CrB";98
73996;41.33;188.17;5634;134083;"45 Boo";99
73745;41.67;186.67;5616;133582;"43Psi Boo";100
74087;42.5;187;5638;134320;"46 Boo";101
73568;40.33;187.33;5600;133124;"41Ome Boo";102
72105;40.25;180;5505;129988;"36Eps Boo";103
