   1  1 =UMi  1    3 00 10  66 00 B  3   11767 1 1  2.0   88.8   -9.4   37.4
   2  1 =UMi  2    3 02 30  70 00 B  4   85822 1 1  4.3  108.5  -18.4   41.6
   3  1 =UMi  3    3 10 10  74 20 B  4   82080 1 1  4.2  116.9  -41.5   52.6
   4  1 =UMi  4    3 29 40  75 40 B  4   77055 2 1  4.3   21.9  -48.4   48.7
   5  1 =UMi  5    4 03 40  77 40 B  4   79822 1 1  4.9  -28.7    3.1    6.8
   6  1 =UMi  6    4 17 30  72 50 B  2   72607 1 1  2.1 -101.7   -2.0   30.1
   7  1 =UMi  7    4 26 10  74 50 B  2   75097 2 1  3.0 -136.1   14.5   38.2
   8  1 =UMi  8a   4 13 00  71 10 B  4   70692 1 1  4.3 -119.5    3.1   38.7
   9  2 =UMa  1    3 25 20  39 50 B  4   41704 1 1  3.3   43.8   14.2   36.5
  10  2 =UMa  2    3 25 50  43 00 B  5   42080 2 1  5.5  -71.6   81.2   96.3
  11  2 =UMa  3    3 26 20  43 00 B  5   42527 1 1  4.6  -28.9   45.9   50.5
  12  2 =UMa  4    3 26 10  47 10 B  5   44390 1 1  4.7   47.4   31.4   44.9
  13  2 =UMa  5    3 26 40  47 00 B  5   45038 2 1  4.8   92.9   37.2   73.2
  14  2 =UMa  6    3 28 10  50 30 B  5   46977 1 1  4.5   71.0   28.5   53.2
  15  2 =UMa  7    4 00 30  43 50 B  4   45075 1 1  4.7   -2.0   30.1   30.1
  16  2 =UMa  8    4 02 30  44 20 B  4   46733 1 1  3.7   71.9   33.0   60.9
  17  2 =UMa  9    4 09 00  42 00 B  4   48319 1 1  3.8   21.4   35.1   38.5 *
  18  2 =UMa 10    4 11 00  44 00 B  4f  48402 2 1  4.6   78.4 -358.0  362.8 *
  19  2 =UMa 11    4 10 40  35 00 B  3   46853 1 1  3.2    2.4   10.9   11.1
  20  2 =UMa 12    4 05 30  29 20 B  3   44127 1 1  3.1   32.3   12.6   30.8
  21  2 =UMa 13    4 06 20  28 20 B  3   44471 1 1  3.6   37.1   27.0   42.3
  22  2 =UMa 14    4 05 40  36 00 B  4   45493 1 1  4.8   36.3  -10.3   31.1
  23  2 =UMa 15    4 05 50  33 00 B  4   44901 1 1  4.5   21.3   15.9   23.9
  24  2 =UMa 16    4 17 40  49 00 B  2   54061 1 1  1.8   27.9   32.8   37.5
  25  2 =UMa 17    4 22 10  44 30 B  2   53910 1 1  2.3    6.1   24.3   24.7
  26  2 =UMa 18    5 03 10  51 00 B  3   59774 1 1  3.3   36.4   28.6   36.5
  27  2 =UMa 19    5 03 00  46 30 B  2   58001 1 1  2.4   14.0   27.5   29.2
  28  2 =UMa 20    4 22 40  29 20 B  3   50372 1 1  3.5   -3.4   26.0   26.2
  29  2 =UMa 21    4 24 10  28 15 B  3   50801 2 1  3.1    5.7   34.4   34.7
  30  2 =UMa 22    5 01 40  35 15 B  4b  54539 1 1  3.0    5.6   10.4   11.4
  31  2 =UMa 23    5 09 50  25 50 B  3   55219 1 1  3.5  -11.6   12.6   16.3
  32  2 =UMa 24    5 10 20  25 00 B  3   55203 1 1  3.8   -1.3  -22.9   23.0
  33  2 =UMa 25    5 12 10  53 30 B  2   62956 1 1  1.8  -36.0   40.6   45.8
  34  2 =UMa 26    5 18 00  55 40 B  2   65378 1 1  2.2   16.1   36.2   37.3
  35  2 =UMa 27    5 29 50  54 00 B  2   67301 1 1  1.9   -7.0   25.4   25.7
  36  2 =UMa 28a   5 27 50  39 45 B  3   63125 1 1  2.9  -14.2   23.2   25.6 *
  37  2 =UMa 29a   5 20 10  41 20 B  5   61317 1 1  4.2   58.8  -46.8   64.5
  38  2 =UMa 30a   4 15 00  17 15 B  4   45860 1 1  3.1    0.3   32.3   32.3
  39  2 =UMa 31a   4 13 20  19 10 B  4   45688 1 1  3.8   15.2   47.7   49.8
  40  2 =UMa 32a   4 16 10  20 00 B  7   46952 1 1  4.5   39.6   33.2   49.8
  41  2 =UMa 33a   4 12 10  22 30 B  7   44248 3 2  4.0 -217.1   71.8  212.2 *
  42  2 =UMa 34a   4 11 10  20 20 B  7   44700 1 1  4.6  -35.0   21.0   39.0
  43  2 =UMa 35a   4 00 00  22 15 B  7   41075 1 1  4.3   35.6   39.9   51.7
  44  3 =Dra  1    7 26 40  76 30 B  4   83608 1 1  4.9   44.2   -3.7   11.0
  45  3 =Dra  2    8 11 50  78 30 B  4b  85819 1 1  4.9   44.1   -8.4   12.2
  46  3 =Dra  3    8 13 10  75 40 B  3   85670 1 1  2.8   95.5   -7.5   24.9
  47  3 =Dra  4    8 27 20  80 20 B  4   87585 1 1  3.7    2.4   10.8   10.8
  48  3 =Dra  5    8 29 40  75 30 B  3   87833 1 1  2.2   82.3  -16.9   26.8
  49  3 =Dra  6    9 24 40  82 20 B  4   90156 1 1  5.0   85.1  -20.2   23.3
  50  3 =Dra  7   10 02 20  78 15 B  4   91755 1 1  5.0   76.5   -9.0   18.1
  51  3 =Dra  8    9 28 50  80 20 B  4   90905 1 1  4.8   38.0  -19.2   20.2
  52  3 =Dra  9   10 19 30  81 30 B  4   92512 1 1  4.6  -33.4  -29.2   29.6
  53  3 =Dra 10   12 08 00  81 40 B  4   95081 1 1  4.6   14.6    8.9    9.2
  54  3 =Dra 11   12 20 30  83 00 B  4   94376 1 1  3.1   88.1   -8.6   13.9
  55  3 =Dra 12    1 07 40  78 50 B  4   97433 1 1  3.8  -42.3   33.1   34.1
  56  3 =Dra 13   12 22 50  77 50 B  4   98702 1 1  4.5  103.4   14.1   25.8
  57  3 =Dra 14    1 10 40  80 30 B  5   96100 1 1  4.7   59.4   21.3   23.4
  58  3 =Dra 15    1 21 40  81 20 B  5   92782 2 1  4.8  191.0  102.4  105.6
  59  3 =Dra 16    1 26 10  80 15 B  5   94648 1 1  4.4  140.8   11.7   26.4
  60  3 =Dra 17    3 13 20  84 30 B  4   86614 2 1  4.6  157.4  -44.3   47.1 *
  61  3 =Dra 18    2 20 20  83 30 B  4   89937 1 1  3.5  138.7  -19.0   24.9
  62  3 =Dra 19    2 11 50  84 50 B  4   89908 1 1  4.2  191.7  -12.4   21.5
  63  3 =Dra 20    4 28 40  87 30 B  6   85805 1 1  5.1 -121.2  -44.4   44.8
  64  3 =Dra 21    4 21 40  86 50 B  6   86201 2 1  4.8 -431.3   -0.9   23.9
  65  3 =Dra 22    6 09 00  81 15 B  5   81660 1 1  4.8 -208.6   24.0   39.2
  66  3 =Dra 23    6 09 20  83 00 B  5   82860 1 1  4.9 -231.2   11.8   30.2
  67  3 =Dra 24    6 08 20  84 50 B  3   83895 1 1  3.2 -287.6   -3.2   26.2
  68  3 =Dra 25    6 10 00  78 00 B  3   80331 2 1  2.7  383.9   29.8   83.6
  69  3 =Dra 26    6 13 00  74 40 B  4b  78527 1 1  4.0  408.4   -8.7  108.8
  70  3 =Dra 27    6 12 40  70 00 B  3   75458 1 1  3.3 -324.9   66.8  127.1
  71  3 =Dra 28    5 07 20  64 40 B  4   67627 1 1  4.6    7.2   34.9   35.0
  72  3 =Dra 29    5 11 10  65 30 B  3   68756 1 1  3.7  -68.9   46.5   54.4
  73  3 =Dra 30    4 19 10  61 15 B  3   61281 2 1  3.8   -8.8   20.5   20.9
  74  3 =Dra 31    4 13 10  56 15 B  3   56211 1 1  3.8   -0.6   48.1   48.1
  75  4 =Cep  1    2 05 00  75 40 B  4   99255 1 1  4.4   97.1  -25.2   35.1
  76  4 =Cep  2    2 03 00  64 15 B  4  116727 1 1  3.2   20.4    7.2   11.4
