"hip";"lat";"lon"
35550;-0.225;12.9333333333333
194;7.45;28.45
677;25.7;8.78333333333333
746;51.2416666666667;29.5916666666667
1067;12.5833333333333;3.63333333333333
1366;33.3416666666667;15.7583333333333
1473;31.55;14.9666666666667
1562;-10.0166666666667;25.3833333333333
1645;5.46666666666667;2.48333333333333
1686;32.2416666666667;16.1166666666667
2505;45.6333333333333;29.1666666666667
2599;52.2333333333333;7.1
2912;27.1083333333333;17.1083333333333
2920;44.675;29.5833333333333
3031;23.0583333333333;15.4166666666667
3092;24.3333333333333;16.325
3179;46.5916666666667;2.29166666666667
3300;41.425;27.95
3414;38.15;25.9083333333333
3419;-20.7833333333333;26.9333333333333
3504;39.2583333333333;26.9333333333333
3693;17.8;15.15
3786;2.18333333333333;8.6
3801;41.25;29.5333333333333
3821;47.0833333333333;4.63333333333333
3881;32.5083333333333;23.6
3885;20.4;17.0583333333333
4366;19.4;18.1083333333333
4422;47.525;6.86666666666667
4427;48.7666666666667;8.45833333333333
4436;30.5583333333333;24.1083333333333
4463;15.9666666666667;16.8916666666667
4510;20.9166666666667;19.375
4889;23.05;21.6833333333333
4906;1.09166666666667;11.9666666666667
5131;13.35;17.9416666666667
5310;12.3583333333333;18.0416666666667
5336;43.4666666666667;5.26666666666667
5346;-1.51666666666667;12.4166666666667
5364;-16.9166666666667;6.19166666666667
5434;36.3333333333333;0.933333333333333
5447;25.9833333333333;24.8166666666667
5454;11.35;18.15
5542;43.1083333333333;6.24166666666667
5544;22;23.25
5571;12.4583333333333;19
5586;20.7166666666667;22.825
5737;0.958333333333333;14.3166666666667
5742;15.5;20.975
5926;56.2166666666667;22.35
6061;-4.325;13.7666666666667
6193;17.4333333333333;23.3
6242;45.075;10
6315;18.5166666666667;24.1833333333333
6537;-15.775;10.7083333333333
6686;46.3666666666667;12.35
6692;52.8;19.4666666666667
6732;9.4;21.6083333333333
7007;-3.05;17.55
7078;54.45;22.3833333333333
7097;5.35;21.2666666666667
7294;44.9583333333333;12.9583333333333
7535;1.85833333333333;21.2666666666667
7607;35.3583333333333;6.86666666666667
7818;27.9083333333333;3.38333333333333
7884;-4.675;19.9333333333333
7918;28.9833333333333;5.1
7965;52.1416666666667;21.9666666666667
8068;36.825;9.10833333333333
8102;-25.0166666666667;12.4166666666667
8198;-1.64166666666667;22.2
8497;-21.9166666666667;15.075
8645;-20.3166666666667;16.4166666666667
8796;16.825;1.31666666666667
8832;7.14166666666667;27.6166666666667
8833;-7.93333333333333;21.9583333333333
8886;47.4833333333333;19.225
8903;8.48333333333333;28.3833333333333
9110;5.4;27.95
9347;-31.0666666666667;13.8333333333333
9487;-9.075;23.7916666666667
9640;27.775;8.65
9836;9.21666666666667;1.68333333333333
9884;9.95;2.1
10064;20.55;6.825
10306;7.38333333333333;2.56666666666667
10324;-4.31666666666667;28.4916666666667
10644;19.4833333333333;7.98333333333333
10670;18.95;7.96666666666667
10732;5.70833333333333;3.33333333333333
11060;39.0083333333333;18.5166666666667
11345;-25.2833333333333;24.15
11484;-5.86666666666667;1.9
11569;48.9;26.65
11767;66.0333333333333;23.0416666666667
11783;-28.5166666666667;24.5416666666667
12093;-9.20833333333333;2.825
12273;53.2666666666667;1.76666666666667
12332;6.11666666666667;8.6
12387;-14.5333333333333;2.03333333333333
12390;-25.9666666666667;27.7916666666667
12489;10.8416666666667;10.5833333333333
12640;4.01666666666667;8.76666666666667
12706;-12.0416666666667;3.89166666666667
12719;11.2666666666667;11.3833333333333
12770;-28.275;28.1916666666667
12777;31.575;19.075
12803;-0.65;7.86666666666667
12828;-5.6;6.11666666666667
13061;12.425;12.85
13165;1.11666666666667;9.58333333333333
13209;10.4;12.6666666666667
13254;20.8833333333333;16.2666666666667
13268;37.475;23.1583333333333
13327;-1.5;9.38333333333333
13531;34.4333333333333;21.8333333333333
13665;42.4333333333333;26.75
13701;-24.5666666666667;3.16666666666667
13702;1.2;11.3666666666667
13879;21.5833333333333;18.3333333333333
13914;4.14166666666667;12.95
13954;-7.83333333333333;9.51666666666667
14135;-12.6166666666667;8.78333333333333
14293;-23.975;5.6
14328;34.5;24.4416666666667
14354;20.55;19.3
14576;22.3666666666667;20.6166666666667
14632;30.6083333333333;23.55
14668;26.0666666666667;22.1
14817;20.9;20.5166666666667
14838;1.775;15.25
14862;53.5333333333333;6.2
15110;2.83333333333333;16.4
15197;-25.9833333333333;8.26666666666667
15457;-14.5;12.75
15627;2.6;17.8416666666667
15863;30.0833333333333;26.2833333333333
15890;53.6166666666667;6.41666666666667
15900;-9.375;15.5916666666667
16083;-8.825;16.3
16228;49.45;4.68333333333333
16281;48.1166666666667;4.2
16292;45.1666666666667;2.3
16322;-7.48333333333333;17.5
16335;27.9833333333333;27.075
16369;-5.95;18
