-599;1000.00
-598;999.29
-597;998.95
-596;998.08
-595;997.46
-594;996.63
-593;995.94
-592;995.15
-591;994.43
-590;994.22
-589;993.25
-588;992.57
-587;992.20
-586;991.12
-585;990.34
-584;990.01
-583;989.22
-582;988.53
-581;987.81
-580;987.10
-579;986.20
-578;985.50
-577;985.29
-576;984.54
-575;983.59
-574;983.18
-573;982.28
-572;981.40
-571;980.87
-570;980.30
-569;979.75
-568;979.01
-567;978.16
-566;977.70
-565;976.61
-564;976.21
-563;975.65
-562;974.69
-561;974.10
-560;973.50
-559;972.97
-558;971.93
-557;971.43
-556;970.95
-555;970.17
-554;969.41
-553;968.70
-552;967.78
-551;967.27
-550;966.71
-549;965.86
-548;965.02
-547;964.55
-546;963.79
-545;963.24
-544;962.51
-543;961.85
-542;961.05
-541;960.41
-540;959.88
-539;959.33
-538;958.17
-537;957.62
-536;957.19
-535;956.37
-534;955.59
-533;954.86
-532;954.22
-531;953.47
-530;953.03
-529;952.66
-528;951.60
-527;950.78
-526;950.41
-525;949.48
-524;948.64
-523;947.92
-522;947.53
-521;946.61
-520;946.08
-519;945.53
-518;944.64
-517;943.91
-516;943.34
-515;942.52
-514;941.73
-513;941.16
-512;940.48
-511;939.57
-510;939.05
-509;938.66
-508;938.04
-507;937.15
-506;936.51
-505;936.00
-504;935.04
-503;934.58
-502;933.73
-501;933.05
-500;932.41
-499;931.98
-498;931.15
-497;930.32
-496;929.74
-495;929.38
-494;928.38
-493;927.64
-492;926.92
-491;926.20
-490;925.71
-489;924.98
-488;924.20
-487;923.62
-486;922.82
-485;922.36
-484;921.72
-483;920.92
-482;920.38
-481;919.54
-480;918.95
-479;918.34
-478;917.66
-477;916.94
-476;916.11
-475;915.52
-474;914.81
-473;913.95
-472;913.51
-471;912.83
-470;912.05
-469;911.54
-468;910.66
-467;909.95
-466;909.29
-465;908.61
-464;907.94
-463;907.37
-462;906.54
-461;905.99
-460;905.35
-459;904.52
-458;904.14
-457;903.34
-456;902.57
-455;901.76
-454;901.06
-453;900.79
-452;899.75
-451;899.05
-450;898.30
-449;897.90
-448;897.47
-447;896.44
-446;895.67
-445;895.17
-444;894.37
-443;893.89
-442;893.06
-441;892.61
-440;891.84
-439;891.01
-438;890.66
-437;890.05
-436;889.38
-435;888.75
-434;887.95
-433;887.21
-432;886.39
-431;885.80
-430;885.31
-429;884.52
-428;883.95
-427;883.34
-426;882.46
-425;881.88
-424;881.51
-423;880.48
-422;879.73
-421;879.03
-420;878.52
-419;877.88
-418;877.01
-417;876.71
-416;875.91
-415;875.06
-414;874.46
-413;873.60
-412;873.24
-411;872.62
-410;871.74
-409;871.21
-408;870.28
-407;869.84
-406;869.21
-405;868.32
-404;868.01
-403;867.22
-402;866.53
-401;865.86
-400;864.96
-399;864.73
-398;863.88
-397;863.17
-396;862.50
-395;861.82
-394;861.35
-393;860.58
-392;859.70
-391;859.19
-390;858.58
-389;857.90
-388;857.34
-387;856.62
-386;855.72
-385;855.31
-384;854.48
-383;853.83
-382;853.04
-381;852.38
-380;852.08
-379;851.09
-378;850.57
-377;849.76
-376;849.02
-375;848.60
-374;848.00
-373;847.40
-372;846.52
-371;845.63
-370;845.19
-369;844.59
-368;844.01
-367;843.18
-366;842.76
-365;841.90
-364;841.43
-363;840.75
-362;840.09
-361;839.54
-360;838.54
-359;837.90
-358;837.27
-357;836.73
-356;836.19
-355;835.44
-354;834.78
-353;834.22
-352;833.31
-351;832.64
-350;831.97
-349;831.43
-348;830.85
-347;830.04
-346;829.31
-345;828.45
-344;828.20
-343;827.53
-342;826.59
-341;826.03
-340;825.41
-339;824.88
-338;824.28
-337;823.47
-336;822.69
-335;821.91
-334;821.41
-333;820.76
-332;819.96
-331;819.29
-330;818.89
-329;818.20
-328;817.51
-327;816.97
-326;816.18
-325;815.50
-324;814.87
-323;814.26
-322;813.78
-321;812.99
-320;812.38
-319;811.82
-318;811.01
-317;810.37
-316;809.61
-315;809.03
-314;808.36
-313;807.60
-312;807.09
-311;806.26
-310;805.59
-309;804.93
-308;804.15
-307;803.72
-306;803.18
-305;802.51
-304;801.69
-303;801.08
-302;800.45
-301;799.75
-300;799.03
-299;798.19
-298;797.33
-297;797.23
-296;796.65
-295;795.88
-294;795.16
-293;794.55
-292;793.86
-291;793.03
-290;792.47
-289;791.95
-288;791.30
-287;790.51
-286;789.81
-285;789.30
-284;788.44
-283;788.04
-282;787.22
-281;786.35
-280;785.96
-279;785.42
-278;784.44
-277;783.98
-276;783.54
-275;782.75
-274;781.90
-273;781.38
-272;780.95
-271;779.84
-270;779.62
-269;778.89
-268;777.97
-267;777.37
-266;776.68
-265;776.06
-264;775.41
-263;774.68
-262;774.12
-261;773.22
-260;772.82
-259;772.43
-258;771.49
-257;770.90
-256;770.06
-255;769.53
-254;768.87
-253;768.17
-252;767.49
-251;767.02
-250;766.02
-249;765.52
-248;764.76
-247;764.08
-246;763.59
-245;762.91
-244;762.08
-243;761.63
-242;760.92
-241;760.34
-240;759.60
-239;759.01
-238;758.64
-237;757.56
-236;757.00
-235;756.50
-234;755.51
-233;755.00
-232;754.27
-231;753.47
-230;753.01
-229;752.34
-228;751.94
-227;750.92
-226;750.07
-225;749.78
-224;749.17
-223;748.65
-222;748.23
-221;747.35
-220;746.39
-219;745.86
-218;745.42
-217;744.67
-216;743.66
-215;743.44
-214;742.63
-213;741.75
-212;741.33
-211;740.61
-210;739.91
-209;739.53
-208;738.67
-207;737.99
-206;737.15
-205;736.75
-204;736.36
-203;735.31
-202;734.73
-201;734.33
-200;733.19
-199;732.73
-198;732.16
-197;731.61
-196;730.74
-195;730.10
-194;729.66
-193;728.68
-192;728.22
-191;727.77
-190;726.71
-189;726.16
-188;725.54
-187;725.18
-186;724.40
-185;723.48
-184;723.00
-183;722.37
-182;721.53
-181;721.11
-180;720.27
-179;719.50
-178;719.07
-177;718.56
-176;717.81
-175;717.22
-174;716.49
-173;716.01
-172;715.00
-171;714.67
-170;714.15
-169;713.26
-168;712.86
-167;712.24
-166;711.06
-165;710.55
-164;710.06
-163;709.59
-162;708.79
-161;708.21
-160;707.38
-159;706.40
-158;705.95
-157;705.80
-156;704.89
-155;704.40
-154;703.61
-153;702.87
-152;702.23
-151;701.67
-150;701.16
-149;700.58
-148;699.55
-147;699.11
-146;698.52
-145;697.57
-144;697.22
-143;696.54
-142;695.65
-141;695.01
-140;694.45
